,premise,hypothesis,labels,genre
6676,"Concentration of greenhouse gases, especially CO2, have increased substantially since the beginning of the industrial revolution.",Greenhouse gases have increased because of the industrial revolution.,0,government
6677,which they probably Mexican people don't even know what a taco salad is but i think it's now it's moving up too because uh just a change you know just something different,"Taco salad isn't a traditional Mexican dish, but it's becoming one because of cultural movement.",0,telephone
6678,"No, John, I said, ""it isn't one of us. ",I told John it was not one of us.,0,fiction
6679,"There are actually three winding roads, or the Grande, the high road, starting out from the Avenue des Diables-Bleus in Nice; the Moyenne, the middle one, beginning at Place Max-Barel; and the Basse, along the coast from Boulevard Carnot, but usually jammed with traffic.","The Basse is a busy, winding road that runs along the coast.",0,travel
6683,He had never felt better.,He felt very sick.,1,fiction
6685,"And, although I got a Ph.D. in philosophy many years ago and have thought and read about these matters ever since, heaven (or whatever) knows I don't have too many answers that I feel confident about.","Even though I never had formal education in this area, I feel confident I know about it.",1,slate
6686,The church has an even more elaborate Baroque pulpit.,The court has a Baroque style pulpit.,1,travel
6687,"Larger boats for up to 20 people, plus crew, offer organized gourmet cruises.",Smaller boats that only fit two people offer gourmet cruises.,1,travel
6688,"On my honour, I will hang him as high as Haman!""",I will hang him.,0,fiction
6689,It cannot be outlawed.,It has to be made illegal. ,1,slate
6690,but we're taking our time we're going uh try to make our decision by July,We are in no rush to make a decision.,0,telephone
6693,"The first, reached from Luxor, is Esna, 54 km (33 miles) by road.",Esna is located 54km away from Luxor.,0,travel
6694,"It doesn't seem expensive--they use it in Bangladesh, after all.",That's one of the most expensive options.,1,slate
6695,"I regretfully acknowledge that it may even make practical sense to have a few hired guns like Norquist, Downey, and Weber around--people of value only for their connections to power, not for any knowledge or talent.",It might be a good idea to have hired guns around.,0,slate
6696,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,0,travel
6697,Sir James's presence in Manchester was not accidental.,Sir James was present in Manchester on purpose.,0,fiction
6699,"Indeed, 58 percent of Columbia/HCA's beds lie empty, compared with 35 percent of nonprofit beds.",58% of Columbia/HCA's beds are empty.,0,slate
6701,"Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.",The biggest payment bankrupted the company.,1,slate
6702,and not only that it it opens you to phone solicitations,It prevents you from having to contend with more marketing calls.,1,telephone
6704,For the first time I entertained the idea of taking my talents to that particular market… .,"I had thought of doing it many times, but I knew I would fail.",1,fiction
6705,A federal employment training program can report on the number of participants.,A federal employment training program can't report its number of participants.,1,government
6706,"These latter vast regions of forests, rivers, and mountains border the Indonesian state of Kalimantan and the oil-rich sultanate of Brunei.",The region near the Indonesian border is flat and has sparse vegetation.,1,travel
6707,"'For one thing, Mr. Franklin, you appear to be taking your...re-actualisation...extremely well.'",Mr. Franklin is taking the situation very well.,0,fiction
6708,uh wasn't that Jane Eyre no he wrote Jane Eyre too,Was it Jane Eyre or not?,0,telephone
6709,Bill Clinton has developed a rhetoric and a series of positions that span this divide.,Bill Clinton is aware of the current divide and is developing something.,0,slate
6710,The CEO and CFO's vision was to make Pfizer  the preeminent corporate finance organization in the industry.,The CEO wanted to increase Pfizer's standing in the world.,0,government
6712,"Ah, ma foi, no! replied Poirot frankly. ",Poirot disagreed with me. ,0,fiction
6715,"Although, in this case the equipment did not have to be erected adjacent to an operating boiler, the erection included demolishing and erecting a complete boiler island and demolishing the existing electrostatic precipitator.",The erection process included destroying as well as building.,0,government
6717,"Founded by Alexander the Great on the Mediterranean coast in 322 b.c. , Alexandria was capital of Egypt during the Ptolemaic era.",Alexandria was founded more than 100 years after the great wars of the 5th century b.c.,1,travel
6718,"She was quite young, not more than eighteen.",She was in her mid-to late forties. ,1,fiction
